text,label
"Congratulations! You won a free iPhone. Click now!",1
"Claim your ₹50,000 reward today.",1
"Limited-time offer. Buy one get one free.",1
"You have been selected for a cash prize.",1
"URGENT! Verify your account immediately.",1
"Win a brand new car by entering this contest.",1
"Exclusive deal just for you. Act now!",1
"Get rich fast with this amazing opportunity.",1
"Your loan has been approved. Apply today.",1
"Free vacation package waiting for you.",1
"Team meeting scheduled at 4 PM today.",0
"Please find the project report attached.",0
"Let's discuss the client requirements tomorrow.",0
"Your interview is confirmed for Monday.",0
"Reminder: Submit your assignment by evening.",0
"Happy birthday! Have a wonderful day.",0
"The invoice for last month is attached.",0
"Can we reschedule our call to 3 PM?",0
"Thank you for attending today's workshop.",0
"Please review the updated document.",0text,label
"Congratulations! You won a free iPhone. Click now!",1
"Claim your ₹50,000 reward today.",1
"Limited-time offer. Buy one get one free.",1
"You have been selected for a cash prize.",1
"URGENT! Verify your account immediately.",1
"Win a brand new car by entering this contest.",1
"Exclusive deal just for you. Act now!",1
"Get rich fast with this amazing opportunity.",1
"Your loan has been approved. Apply today.",1
"Free vacation package waiting for you.",1
"Team meeting scheduled at 4 PM today.",0
"Please find the project report attached.",0
"Let's discuss the client requirements tomorrow.",0
"Your interview is confirmed for Monday.",0
"Reminder: Submit your assignment by evening.",0
"Happy birthday! Have a wonderful day.",0
"The invoice for last month is attached.",0
"Can we reschedule our call to 3 PM?",0
"Thank you for attending today's workshop.",0
"Please review the updated document.",0
